keys,es
Brightens the zone you are holding so a press reads clearly. Off makes the whole hitbox one flat shade.,Ilumina la zona que estás manteniendo pulsada para que se note claramente. Apagado deja toda la zona de impacto de un solo tono plano.
Buy,Comprar
Buzzes briefly each time you hit a note in Touch mode. Turn it off if the constant vibration bothers you or drains the battery.,Vibra brevemente cada vez que aciertas una nota en modo Toque. Apágalo si la vibración constante te molesta o gasta batería.
CAST,REPARTO
CREDITS,CRÉDITOS
Calls over your grandest Collector to attempt mechanics for you.,Llama a tu gran Coleccionista para que intente las mecánicas por ti.
Cartridges,Cartuchos
"Centers your note lanes in the middle of the screen instead of off to the side. Always on while the VSlice note layout is selected, which is built around it.","Centra tus carriles de notas en medio de la pantalla en vez de a un lado. Siempre activo mientras esté seleccionada la disposición VSlice, que está construida en torno a esto."
Change Keybinds,Cambiar atajos
Change game's maximum frames per second limit. ,Cambia el límite máximo de fotogramas por segundo del juego. 
Changes overall game display. ,Cambia cómo se muestra el juego en pantalla. 
Changes the game's UI language. A restart of any open menu may be needed for every label to catch up.,Cambia el idioma de la interfaz del juego. Puede que haga falta reabrir algún menú para que todas las etiquetas se actualicen.
Charter,Charteador
Clock: ,Reloj: 
Close,Cerrar
"Code accepted - ""%s"" unlocked!","Código aceptado - ¡""%s"" desbloqueado!"
Codes,Códigos
Collector's Note,Nota del Coleccionista
Collector's Shop,Tienda del Coleccionista
Composer,Compositor
Composer & SFX,Compositor y SFX
Composers,Compositores
Continue,Continuar
Credits,Créditos
Credits Theme,Tema de créditos
"Daughter to the greatest musical trainers beyond the farthest reaches of Kanto. Mentally resilient despite first impressions. Forever searching for her loved one, the remnants of his ever distant voice echo in the dark.
","Hija de los mejores entrenadores musicales más allá de los confines de Kanto. Mentalmente resiliente pese a las primeras impresiones. Busca sin descanso a su ser querido; los restos de su voz, cada vez más lejana, resuenan en la oscuridad.
"
Debug Display: ,Panel de depuración: 
Debug Keybind: ,Atajo de depuración: 
Decorative extras like glow and screen effects. Lower settings skip loading them entirely instead of just hiding them.,Extras decorativos como el resplandor y los efectos de pantalla. Los ajustes bajos evitan cargarlos por completo en vez de sólo ocultarlos.
Delete Save Data!!!,¡¡¡Borrar datos guardados!!!
Deletes all save data for FNF Lullaby. Start from the beginning.,Borra todos los datos guardados de FNF Lullaby. Empieza desde cero.
Diagnostics Log,Registro de diagnóstico
Down,Abajo
Downscroll,Desplazamiento hacia abajo
Draws the outline around each lane zone so you can see where one starts and another ends.,Dibuja el contorno de cada zona de carril para que veas dónde empieza una y termina otra.
Enter a code:,Introduce un código:
Exit,Salir
FSR Sharpness: ,Nitidez FSR: 
Flashing Lights,Luces intermitentes
"For the average computer [Post-processing low, basic antilaliasing]","Para el ordenador medio [Postprocesado bajo, antialiasing básico]"
"Friday Night Funkin' Lullaby is not affiliated with Funkin' Crew, Inc., 
Newgrounds, The Pokémon Company, or Nintendo of America. Friday Night Funkin' Lullaby 
is a fangame project made out of love for the original games, and should not be 
considered official or canon material for either Friday Night Funkin' or Pokémon. 
Cabinet of Novelties team earns no profit from the distribution 
of this fangame or its development. 


Any depicted persons and events in this game are fictitious.
Any similarity to actual persons or events is unintentional.","Friday Night Funkin' Lullaby no está afiliado con Funkin' Crew, Inc., 
Newgrounds, The Pokémon Company, ni Nintendo of America. Friday Night Funkin' Lullaby 
es un proyecto de fangame hecho con cariño hacia los juegos originales, y no debe 
considerarse material oficial ni canónico de Friday Night Funkin' ni de Pokémon. 
El equipo de Cabinet of Novelties no obtiene ningún beneficio de la distribución 
de este fangame ni de su desarrollo. 


Todas las personas y eventos representados en este juego son ficticios.
Cualquier parecido con personas o eventos reales es involuntario."
"GODMODE activated. You are now invincible to embarrassment. Wait, no.","MODODIOS activado. Ahora eres invencible a la vergüenza ajena. Espera, no."
Gallery,Galería
Gameplay Control: ,Control de juego: 
Ghost Tapping,Toque fantasma
Graphics,Gráficos
Graphics. High: Director's visual experience. Normal: Lower graphics. Low: As low as possible.,Gráficos. Alto: la experiencia visual pensada por la dirección. Normal: gráficos reducidos. Bajo: lo más bajo posible.
Hello! Will you sing with me? How kind of you to show! Hello! Will you sing with me? How kind of you to show! Hello! Will you sing with me? How kind of you to show! Hello! Will you sing with me? How kind of you to show! Hello! Will you sing with me? How kind of you to show! Hello! Will you sing with me? How kind of you to show!,¡Hola! ¿Cantas conmigo? ¡Qué amable por aparecer! ¡Hola! ¿Cantas conmigo? ¡Qué amable por aparecer! ¡Hola! ¿Cantas conmigo? ¡Qué amable por aparecer! ¡Hola! ¿Cantas conmigo? ¡Qué amable por aparecer! ¡Hola! ¿Cantas conmigo? ¡Qué amable por aparecer! ¡Hola! ¿Cantas conmigo? ¡Qué amable por aparecer!
Hitbox Gradient,Degradado de zona de impacto
Hitbox Hint,Guía de zona de impacto
Hitbox Opacity: ,Opacidad de zona de impacto: 
How big the tap target around each falling note is in Touch mode. Smaller means you have to aim; larger is more forgiving and also scales the round red mechanic button.,Cuán grande es el objetivo de toque alrededor de cada nota que cae en modo Toque. Más pequeño significa que tienes que apuntar; más grande es más indulgente y también agranda el botón rojo redondo de la mecánica.
How blurred shadow edges are. Hard is the cheapest and has no blur at all. Does nothing while Shadows is off.,Cuán difuminados están los bordes de las sombras. Hard es el más barato y no tiene difuminado alguno. No hace nada mientras las Sombras están apagadas.
"How hard jumpscares and hits throw the picture around. On a phone the whole screen is in your hand, so full strength reads a lot harder than it does on a monitor. 0 holds the camera still.","Cuán fuerte los sustos y los golpes sacuden la imagen. En un móvil tienes toda la pantalla en la mano, así que la fuerza máxima se nota mucho más que en un monitor. 0 mantiene la cámara quieta."
How many pixels the Collector actually bothers rendering before stretching it to fill your screen. Turn it down if the shop's chugging.,Cuántos píxeles llega a renderizar realmente el Coleccionista antes de estirarlo para llenar tu pantalla. Bájalo si la tienda va a tirones.
"How notes are played. Hitbox uses the full height lane zones. Touch lets you tap the falling notes themselves, up to four fingers at once for chords.","Cómo se juegan las notas. Hitbox usa las zonas de carril a toda su altura. Toque te deja pulsar las propias notas al caer, hasta con cuatro dedos a la vez para los acordes."
How sharp the FSR/FSR2 upscale looks. Only does anything with FSR or FSR2 and Render Scale below 100%. Costs no performance either way.,Cuán nítido se ve el escalado FSR/FSR2. Sólo hace algo con FSR o FSR2 y Escala de renderizado por debajo del 100%. No cuesta rendimiento en ningún caso.
How soon distant models drop to a simpler version. 0 keeps full detail everywhere; higher swaps sooner and draws less. Costs nothing to raise - the simpler versions are built at import time.,Cuán pronto los modelos lejanos pasan a una versión más simple. 0 mantiene el detalle completo en todas partes; más alto cambia antes y dibuja menos. No cuesta nada subirlo - las versiones simples se generan al importar.
How the image is stretched back up when Render Scale is below 100%. FSR2 is the sharpest but desktop only; FSR beats Bilinear for the same cost; Nearest is cheapest.,Cómo se reescala la imagen cuando la Escala de renderizado está por debajo del 100%. FSR2 es el más nítido pero sólo en escritorio; FSR supera a Bilinear al mismo coste; Nearest es el más barato.
"How the note lanes are arranged. Classic is the layout the songs were made with. VSlice centres your strumline, makes the notes bigger and spaces the lanes further apart.","Cómo se disponen los carriles de notas. Clásico es la disposición con la que se hicieron las canciones. VSlice centra tu línea de rasgueo, agranda las notas y separa más los carriles."
How visible the lane zones are. 100 is the original look; lower fades them out.,Cuán visibles son las zonas de carril. 100 es el aspecto original; más bajo las difumina.
How wide the window is to hit a note. Lenient if Perfects feel impossible to land.,Cuán ancha es la ventana para acertar una nota. Indulgente si los Perfectos parecen imposibles de conseguir.
IN-GAME SHOP,TIENDA DEL JUEGO
"If on, lets you press lanes freely without getting punished for not hitting a note.","Si está activo, te deja pulsar carriles libremente sin castigo por no acertar una nota."
"If you are seeing this, your graphics card does not support
OpenGL 3.3, and has fallen back on ANGLE, known to have issues with visuals.

It is strongly recommended you update this device's video card drivers.

By continuing, you acknowledge the possibility of instability
when experiencing Friday Night Funkin' Lullaby.","Si estás viendo esto, tu tarjeta gráfica no es compatible con
OpenGL 3.3, y ha recurrido a ANGLE, que suele dar problemas visuales.

Se recomienda encarecidamente actualizar los controladores de vídeo de este dispositivo.

Al continuar, aceptas la posibilidad de inestabilidad
al jugar a Friday Night Funkin' Lullaby."
Indirect Lighting,Iluminación indirecta
Input,Entrada
Invalid code.,Código no válido.
"It is thought that Celebi's song forever echoes within it, promising a brightly shining future to all who hear it. A beacon of light once loyal to their trainer, now faithful to another.
","Se cree que el canto de Celebi resuena en su interior para siempre, prometiendo un futuro brillante a quien lo escuche. Un faro de luz que una vez fue leal a su entrenador, ahora fiel a otro.
"
Keyboard: ,Teclado: 
LALALALA,LALALALA
Language: ,Idioma: 
Left,Izquierda
Light Culling: ,Descarte de luces: 
Locks frame rate to monitor's refreshrate to combat screen tearing.,Limita la tasa de fotogramas a la frecuencia de refresco del monitor para evitar el tearing.
Master Volume: ,Volumen general: 
Max FPS: ,FPS máximos: 
Mechanic Direction: ,Dirección de la mecánica: 
Mechanic:,Mecánica:
Memory Card #1,Tarjeta de memoria n.º 1
Mesh Detail Distance: ,Distancia de detalle de malla: 
Midscroll,Desplazamiento centrado
"Multiplier for chart scroll speed, the speed at which notes come down the screen.","Multiplicador de la velocidad de desplazamiento del chart, la velocidad a la que bajan las notas por la pantalla."
Music Volume: ,Volumen de música: 
Mute Volume: ,Silenciar volumen: 
Never Played,Nunca jugada
"No, close the game.","No, cerrar el juego."
"Normal locks a standard 16:9 frame and pillarboxes the rest, which is how the songs are authored. Wide fills a wide screen with extra game world, which can show past what a stage was built to cover.","Normal fija un cuadro 16:9 estándar y rellena el resto con barras negras, que es como se diseñaron las canciones. Panorámico llena una pantalla ancha con más mundo de juego, lo que puede mostrar más allá de lo que el escenario fue construido para cubrir."
Note Down: ,Nota Abajo: 
Note Layout: ,Disposición de notas: 
Note Left: ,Nota Izquierda: 
Note Right: ,Nota Derecha: 
Note Up: ,Nota Arriba: 
Offset: ,Desfase: 
"Offsets the position of all notes, in case of delays.","Desplaza la posición de todas las notas, por si hay retrasos."
P e n d u l u m,P é n d u l o
P u l s e,P u l s o
Passed,Superada
Pause: ,Pausa: 
Places player arrows at the bottom of the screen and makes notes scroll down.,Coloca las flechas del jugador en la parte inferior de la pantalla y hace que las notas bajen.
Play,Jugar
Play Intro,Reproducir intro
Player Profile,Perfil de jugador
"Plays the whole song, music included, faster or slower. The hit windows do not move with it, so slower is easier and faster is harder. The music changes pitch.","Reproduce toda la canción, música incluida, más rápido o más lento. Las ventanas de acierto no se mueven con ella, así que más lento es más fácil y más rápido es más difícil. La música cambia de tono."
Post Processing: ,Postprocesado: 
Power,Encendido
Press Enter to start,Pulsa Enter para empezar
Press [color=red]Enter[/color] to Continue,Pulsa [color=red]Enter[/color] para continuar
Previous Directors,Directores anteriores
Programmers,Programadores
Programming,Programación
Programming ,Programación 
Programming Direction,Dirección de programación
Programming Director,Director de programación
Quality Preset:,Preajuste de calidad:
Quality Preset: ,Preajuste de calidad: 
Quick Restart: ,Reinicio rápido: 
Reduce Visual Effects,Reducir efectos visuales
Render Scale: ,Escala de renderizado: 
Resolution: ,Resolución: 
Right,Derecha
Role,Rol
Root access: denied. Fart access: granted.,Acceso root: denegado. Acceso a pedos: concedido.
SFX,SFX
SFX Volume: ,Volumen de SFX: 
SPECIAL THANKS,AGRADECIMIENTOS ESPECIALES
"Score: %d
Highest Combo: %d
Misses: %d
Accuracy: %.2f%%
Rank: %s
Clear: %s","Puntuación: %d
Combo máximo: %d
Fallos: %d
Precisión: %.2f%%
Rango: %s
Estado: %s"
Screen Mode: ,Modo de pantalla: 
Screen Shake: ,Sacudida de pantalla: 
Screen Space AA: ,AA en espacio de pantalla: 
Scroll Speed Mult: x,Mult. velocidad de desplazamiento: x
"Seen On: %s
Collected: %03d / %03d","Visto en: %s
Colección: %03d / %03d"
"Set keybinds for notes, mechanics, and others.","Configura los atajos para notas, mecánicas y demás."
Set the game's resolution in pixels.,Fija la resolución del juego en píxeles.
"Set the volume of the game's music, including vocals.","Fija el volumen de la música del juego, incluidas las voces."
Settings,Ajustes
Shadow Resolution: ,Resolución de sombras: 
Shadow Softness: ,Suavidad de sombras: 
Shadows,Sombras
"Sharpness of textures viewed at an angle. Costs memory bandwidth on every textured pixel, which is what this phone runs out of first - Off is barely visible at a low render scale.","Nitidez de las texturas vistas en ángulo. Cuesta ancho de banda de memoria en cada píxel con textura, que es lo primero que se agota en este teléfono - Apagado apenas se nota a una escala de renderizado baja."
Shop Benchmark (No Precache),Banco de pruebas de la tienda (sin precarga)
Shop Benchmark (Precache),Banco de pruebas de la tienda (con precarga)
Show Pause Button,Mostrar botón de pausa
Showcase Mode,Modo Demostración
Shows the round pause button in the corner during songs. Off hides it entirely.,Muestra el botón redondo de pausa en la esquina durante las canciones. Apagado lo oculta por completo.
"Size of the shadow map every light shares. Lower means blockier edges but real GPU and VRAM savings, one of the better knobs on a weak phone. Does nothing while Shadows is off.","Tamaño del mapa de sombras que comparten todas las luces. Menos significa bordes más toscos pero ahorro real de GPU y VRAM, uno de los mejores ajustes en un móvil modesto. No hace nada mientras las Sombras están apagadas."
Skip >>,Saltar >>
"Smooths jagged edges by rendering extra samples per pixel. Costs GPU time, so turn it off first.","Suaviza los bordes dentados renderizando muestras extra por píxel. Cuesta tiempo de GPU, así que apágalo primero."
"Soft contact shadows in corners and where objects meet. Expensive on mobile GPUs for a fairly subtle effect, so an easy win to turn off. Collector's Shop only.","Sombras de contacto suaves en esquinas y donde se juntan los objetos. Caro en GPUs móviles para un efecto bastante sutil, así que apagarlo es una victoria fácil. Sólo en la Tienda del Coleccionista."
Song Speed: ,Velocidad de la canción: 
Special,Especial
Special: ,Especial: 
"Stops small lights being drawn once the camera is far from them, as a multiple of each light's own reach. 0 is off; lower culls more. Every light reaching a pixel is shaded on that pixel, so this is the strongest lever in a busy scene.","Deja de dibujar las luces pequeñas cuando la cámara está lejos de ellas, como múltiplo del alcance propio de cada luz. 0 lo desactiva; más bajo descarta más. Cada luz que alcanza un píxel se sombrea en ese píxel, así que es la palanca más fuerte en una escena cargada."
Strips decorative shader effects throughout the game. Optimized turns this on automatically; use it to get the same boost without dropping the rest of your preset.,Elimina los efectos de shader decorativos de todo el juego. Optimizado lo activa automáticamente; úsalo para obtener la misma mejora sin bajar el resto de tu preajuste.
T y p i n g,E s c r i t u r a
TIME: %s,TIEMPO: %s
Texture Filtering: ,Filtrado de texturas: 
The Aspiring Trainer,La Entrenadora Aspirante
The Husked One,El Vaciado
The Hypnosis Pokemon,El Pokémon Hipnosis
The Loyal Pokemon,El Pokémon Leal
The Resilient Trainer,La Entrenadora Resiliente
The Singing Trainer,El Entrenador Cantante
The Vulture Pokemon,El Pokémon Buitre
The Yurei,La Yurei
"The floating, desparate remainder of a once bright star. All that was once voiced is now lost elsewhere; a desperate voice now replaced with the amplified cries of the ravished.",El resto flotante y desesperado de lo que una vez fue una estrella brillante. Todo lo que alguna vez tuvo voz está ahora perdido en otro lugar; una voz desesperada reemplazada por los gritos amplificados de los devastados.
"The forest’s incredulous myth thought impossible. Victims are lulled away by the deeply polished pendulum. When it is very hungry, it puts humans it meets to sleep, then it feasts on their dreams.
","El mito increíble del bosque, dado por imposible. Sus víctimas son arrastradas por el péndulo pulido hasta hipnotizarlas. Cuando tiene mucha hambre, duerme a los humanos que encuentra y se alimenta de sus sueños.
"
The intended experience. [Post-processing and antialiasing at its max],La experiencia pretendida. [Postprocesado y antialiasing al máximo]
The key for each special mechanic in songs.,La tecla de cada mecánica especial en las canciones.
"The promised young challenger's devotion reverberates through his body. Mt Silver's most compelling young victim. His voice echoes pleas from within the Mount's choir of spirits, reaching out to a town long deserted. 
","La devoción del joven aspirante prometido reverbera por todo su cuerpo. La víctima joven más cautivadora del Monte Plateado. Su voz hace eco de súplicas desde el interior del coro de espíritus de la montaña, alcanzando un pueblo abandonado hace tiempo. 
"
"This game contains [color=9b0000]loud noises, jumpscares, covered partial
nudity, depictions of gore, body horror, and insects.[/color]

If you are sensitive to any of the above, do [color=red]not[/color]
play [color=9b0000]Friday Night Funkin' Lullaby.[/color] Wish to continue?","Este juego contiene [color=9b0000]ruidos fuertes, sustos, desnudez parcial
cubierta, representaciones de gore, terror corporal e insectos.[/color]

Si eres sensible a algo de lo anterior, [color=red]no[/color]
juegues a [color=9b0000]Friday Night Funkin' Lullaby.[/color] ¿Deseas continuar?"
Timing: ,Ventana de acierto: 
Toggle Fullscreen: ,Alternar pantalla completa: 
Toggle for turning flashing lights ON or OFF for light sensitive and epileptic players.,Activa o desactiva las luces intermitentes para jugadores fotosensibles o epilépticos.
"Toggles debug, displaying current running FPS and memory.","Activa la depuración, mostrando los FPS y la memoria en uso."
Touch Note Hitbox Size: x,Tamaño de zona de impacto táctil: x
Training,Entrenamiento
Turns off dynamic shadows entirely. The single biggest knob here if the shop's chugging.,Desactiva las sombras dinámicas por completo. El ajuste más importante de todos si la tienda va a tirones.
Twenty year old performer and accomplished Queen of Kalos. Had recently taken up photography in an effort to satiate her desire for new sights and challenging trainers. Broken camera and photographs featuring her were found in an abandoned farmhouse's field. Missing.,Artista de veinte años y consumada Reina de Kalos. Recientemente había empezado a hacer fotografía para saciar su deseo de nuevos paisajes y entrenadores desafiantes. Se hallaron una cámara rota y fotografías suyas en el campo de una granja abandonada. Desaparecida.
"Ultimate power granted. It smells like ultimate power, actually.","Poder definitivo concedido. Huele a poder definitivo, la verdad."
Up,Arriba
Upscaling: ,Escalado: 
VSync: ,VSync: 
Vibration,Vibración
Visual Offset: ,Desfase visual: 
Voice Volume: ,Volumen de voces: 
Volume,Volumen
Volume Down: ,Bajar volumen: 
Volume Up: ,Subir volumen: 
"Vultures disguised as ancient writing. It is unknown which came first, the writing or these Unowns. Harmless if by their lonesome, dangerous in clumps. The unascended versions of something greater. Nests have been found anywhere dark, warm, and suitable for sustenance. Caves, corpses, basements. 
","Buitres disfrazados de escritura antigua. Se desconoce qué llegó primero, la escritura o estos Unown. Inofensivos si están solos, peligrosos en grupo. Las versiones no ascendidas de algo mayor. Se han hallado nidos en cualquier lugar oscuro, cálido y apto para alimentarse. Cuevas, cadáveres, sótanos. 
"
WARNING,ADVERTENCIA
Warning Screen,Pantalla de advertencia
"Watch the game play itself perfectly, hitting every note on its own.","Observa cómo el juego se juega solo a la perfección, acertando cada nota por su cuenta."
Whatever you want.,Lo que tú quieras.
"Where the pendulum mechanic's own red hitbox sits. Up is the original top strip. Bottom parks it at the bottom edge. Center puts it between the lane pairs, splitting the lanes above and below it.","Dónde se sitúa la zona de impacto roja propia de la mecánica del péndulo. Arriba es la franja superior original. Abajo la aparca en el borde inferior. Centro la coloca entre los pares de carriles, repartiéndolos por encima y por debajo."
Which clock the Memory Card header up there reads in.,Con qué reloj marca la hora la cabecera de la Tarjeta de memoria de ahí arriba.
"Which debug overlay to show. Simple is FPS and memory, Detailed adds build info, Advanced adds rendering diagnostics. The keybind above cycles it.","Qué panel de depuración mostrar. Simple son FPS y memoria, Detallado añade info de la build, Avanzado añade diagnóstico de renderizado. El atajo de arriba lo rota."
"Which keyboard Monochrome's typing mechanic uses. System raises your phone's own keyboard, with your layout, language and autocorrect. In-Game draws the game's keys instead, for when your keyboard covers too much of the screen. Showcase Mode always uses In-Game, because your phone's keyboard cannot be shown typing by itself.","Qué teclado usa la mecánica de escritura de Monochrome. Sistema abre el teclado propio de tu móvil, con tu disposición, idioma y autocorrección. En el juego dibuja las teclas del propio juego, para cuando tu teclado tapa demasiada pantalla. El Modo Demostración siempre usa En el juego, porque el teclado de tu móvil no puede mostrarse escribiendo solo."
Window Mode: ,Modo de ventana: 
Writer,Guionista
"Writes a performance and error log to storage, which is what a bug report needs attached. Takes effect the next time the game starts. The path below is where this session's went.","Escribe un registro de rendimiento y errores en el almacenamiento, que es lo que necesita adjunto un reporte de error. Tiene efecto la próxima vez que arranque el juego. La ruta de abajo es dónde fue a parar el de esta sesión."
"Yes, I understand.","Sí, lo entiendo."
"You now have unlimited everything, except dignity.","Ahora tienes todo ilimitado, menos dignidad."
[CTRL+ALT+S] or [COMMAND+OPTION+S] brings up this menu.,[CTRL+ALT+S] o [COMMAND+OPTION+S] abre este menú.
[F],[F]
[The Go Back Button] Go Back,[The Go Back Button] Volver
[color=red]Type[/color] the corresponding letters to the Unowns as they appear,[color=red]Escribe[/color] las letras correspondientes a los Unown a medida que aparecen
"[wave amp=10.0 freq=4.0]
CLICK TO CONTINUE  →","[wave amp=10.0 freq=4.0]
PULSA PARA CONTINUAR  →"
reset save data,restablecer datos guardados
